"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10275","2026-06-01",0,0
"Finley Romper in Emerald","Emerald / 3-6 Months","94222","2026-06-01",68,1
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","10303","2026-06-01",388,20
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","75027","2026-06-01",40,0
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","10264","2026-06-01",41,0
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","20005","2026-06-01",161,11
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","940209","2026-06-01",79,22
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10073","2026-06-01",3,5
"Robes in Sage","Laura Robe / Long","10170","2026-06-01",34,6
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","10112","2026-06-01",330,31
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","107779","2026-06-01",0,8
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-06-01",-28,2
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-06-01",0,0
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-06-01",64,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","75028","2026-06-01",57,2
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","10211","2026-06-01",17,1
"Robes in Dusty Rose","Mia Robe / Short","10184","2026-06-01",34,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","75019","2026-06-01",55,3
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10092","2026-06-01",183,10
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","10110","2026-06-01",44,8
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","66944","2026-06-01",45,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","75002","2026-06-01",56,0
"Amelia Labor & Postpartum Gown in Black","Black / Curve","10270","2026-06-01",62,8
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","20006","2026-06-01",4,6
"Amelia Labor & Postpartum Gown in Black","Black / Standard","10222","2026-06-01",51,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","75024","2026-06-01",63,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","75003","2026-06-01",59,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","20121","2026-06-01",-3,10
"Finley Romper in Lilac","Lilac / 6-9 Months","94235","2026-06-01",18,0
"Finley Romper in Lilac","Lilac / Newborn","94233","2026-06-01",17,0
"Robes in Periwinkle","Laura Robe / Long","10172","2026-06-01",74,1
"Lila Labor & Postpartum Gown in Sage","Sage / Petite",,"2026-06-01",0,0
"Finley Romper in Black","Black / 9-12 Months","10200","2026-06-01",60,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","10233","2026-06-01",49,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","75006","2026-06-01",3,3
"Finley Romper in Emerald","Emerald / Newborn","94221","2026-06-01",-5,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","75008","2026-06-01",18,0
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","10219","2026-06-01",5,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","0","2026-06-01",70,3
"Baby Swaddle Set: Dusty Rose","Hat & Bow","10025","2026-06-01",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","66946","2026-06-01",43,0
"Robes in Sage","Mia Robe / Short","10190","2026-06-01",57,1
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","11300","2026-06-01",60,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","75016","2026-06-01",42,1
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","10274","2026-06-01",55,0
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months",,"2026-06-01",44,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","75004","2026-06-01",58,0
"Robes in Dusty Rose","Laura Robe / Long","10164","2026-06-01",20,5
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","10217","2026-06-01",11,0
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","10210","2026-06-01",0,0
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite",,"2026-06-01",11,5
"Finley Romper in Lilac","Lilac / 3-6 Months","94234","2026-06-01",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","75030","2026-06-01",44,1
"Amelia Labor & Postpartum Gown Lilac","Standard","29705","2026-06-01",6,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","75023","2026-06-01",0,4
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","10225","2026-06-01",89,1
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","10226","2026-06-01",42,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","75010","2026-06-01",19,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","66947","2026-06-01",43,0
"Robes in Black","Laura Robe / Long","10168","2026-06-01",40,4
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-06-01",72,5
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-06-01",41,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10229","2026-06-01",85,0
"TENS Unit for Labor","Default Title","20202","2026-06-01",1956,144
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","75022","2026-06-01",42,3
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","10097","2026-06-01",111,8
"Baby Swaddle Set: Black","Hat & Bow","10123","2026-06-01",112,5
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","62000","2026-06-01",55,5
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","75026","2026-06-01",36,0
"Baby Swaddle Set: Emerald","Hat & Bow",,"2026-06-01",-3,4
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-06-01",2,0
"Finley Romper in Sage","Sage / 3-6 Months","94231","2026-06-01",6,0
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","10215","2026-06-01",63,0
"Robes in Lilac","Mia Robe / Short","29711","2026-06-01",41,0
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","940219","2026-06-01",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","75017","2026-06-01",44,4
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","20119","2026-06-01",38,6
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","11302","2026-06-01",37,9
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","10218","2026-06-01",6,0
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10261","2026-06-01",87,7
"Finley Romper in Sage","Sage / 6-9 Months","94232","2026-06-01",15,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","10230","2026-06-01",66,0
"Lila Labor & Postpartum Gown in Black","Black / Standard","10156","2026-06-01",99,75
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Slim Petite",,"2026-06-01",3,4
"Baby Swaddle Set: Plum","Hat",,"2026-06-01",-4,1
"Finley Romper in Plum","Plum / Newborn","31114","2026-06-01",63,3
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","10104","2026-06-01",32,22
"Robes in Plum","Laura Robe / Long","10166","2026-06-01",7,7
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10098","2026-06-01",58,9
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","20114","2026-06-01",165,4
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-06-01",-4,1
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","10232","2026-06-01",52,3
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","10107","2026-06-01",93,6
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","107778","2026-06-01",1,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10266","2026-06-01",27,3
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","10101","2026-06-01",0,1
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite",,"2026-06-01",17,3
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","20117","2026-06-01",19,19
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","10103","2026-06-01",39,38
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","940221","2026-06-01",25,0
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months",,"2026-06-01",19,0
"Baby Swaddle Set: Periwinkle","Hat & Bow",,"2026-06-01",-3,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10265","2026-06-01",-1,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-06-01",46,12
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","75009","2026-06-08",39,4
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","10095","2026-06-08",70,13
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","12234","2026-06-08",21,5
"Finley Romper in Midnight Blue","Midnight Blue / 6-9 Months","940218","2026-06-08",22,0
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","17003","2026-06-08",17,0
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-06-08",-4,0
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","20011","2026-06-08",28,5
"Robes in Midnight Blue","Laura Robe / Long","10904","2026-06-08",52,1
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","10211","2026-06-08",17,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","75028","2026-06-08",54,3
"Robes in Periwinkle","Mia Robe / Short","10192","2026-06-08",24,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","75007","2026-06-08",0,0
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months",,"2026-06-08",28,0
"Robes in Plum","Mia Robe / Short","10186","2026-06-08",4,2
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","10216","2026-06-08",18,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Large","66945","2026-06-08",24,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10276","2026-06-08",14,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Medium","75001","2026-06-08",23,1
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","10273","2026-06-08",24,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","45212","2026-06-08",30,8
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","10303","2026-06-08",362,26
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","75027","2026-06-08",36,4
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10275","2026-06-08",0,0
"Finley Romper in Emerald","Emerald / 3-6 Months","94222","2026-06-08",68,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","20121","2026-06-08",-3,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","75017","2026-06-08",40,4
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","940219","2026-06-08",31,0
"Baby Swaddle Set: Lilac","Hat & Bow",,"2026-06-08",144,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","75004","2026-06-08",58,0
"Lila Labor & Postpartum Gown in Sage","Sage / Standard","10106","2026-06-08",160,22
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","10213","2026-06-08",64,0
"Finley Romper in Deep Teal","Deep Teal / Newborn","10209","2026-06-08",109,7
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","94224","2026-06-08",24,1
"Baby Swaddle Set: Emerald","Hat & Bow",,"2026-06-08",-3,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","75026","2026-06-08",36,0
"Robes in Vintage Floral","Laura Robe / Long","10174","2026-06-08",-1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","75006","2026-06-08",0,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","75018","2026-06-08",59,0
"Amelia Labor & Postpartum Gown Lilac","Full Figure","29706","2026-06-08",9,1
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","10110","2026-06-08",34,11
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","75022","2026-06-08",41,1
"Robes in Dusty Rose","Laura Robe / Long","10164","2026-06-08",17,3
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","10232","2026-06-08",47,5
"Robes in Plum","Laura Robe / Long","10166","2026-06-08",4,3
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","10104","2026-06-08",18,15
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Petite",,"2026-06-08",3,0
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10092","2026-06-08",176,10
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","75019","2026-06-08",54,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Small","75000","2026-06-08",58,0
"Finley Romper in Emerald","Emerald / 6-9 Months","94223","2026-06-08",18,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","45210","2026-06-08",-5,5
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-06-08",34,2
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-06-08",64,0
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-06-08",155,50
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","12235","2026-06-08",5,3
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","10217","2026-06-08",11,0
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","10210","2026-06-08",0,0
"Finley Romper in Plum","Plum / 3-6 Months","31115","2026-06-08",-1,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","45101","2026-06-08",43,8
"Amelia Labor & Postpartum Gown in Black","Black / Standard","10222","2026-06-08",45,6
"Finley Romper in Black","Black / 3-6 Months","10198","2026-06-08",58,0
"Amelia Labor & Postpartum Gown Lilac","Curve","29707","2026-06-08",20,1
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-06-08",69,4
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","10219","2026-06-08",5,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","10023","2026-06-08",38,8
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10091","2026-06-08",360,29
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","101201","2026-06-08",66,6
"Robes in Deep Teal","Mia Robe / Short","10196","2026-06-08",22,6
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","10231","2026-06-08",19,7
"Robes in Dusty Rose","Mia Robe / Short","10184","2026-06-08",33,1
"Robes in Vintage Floral","Mia Robe / Short","10194","2026-06-08",-2,0
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-06-08",31,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","66944","2026-06-08",44,1
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months",,"2026-06-08",19,0
"Baby Swaddle Set: Midnight Blue","Hat & Bow",,"2026-06-08",2,21
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","24225","2026-06-08",99,0
"Finley Romper in Black","Black / 6-9 Months","10199","2026-06-08",3,0
"Finley Romper in Sage","Sage / 3-6 Months","94231","2026-06-08",6,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","12237","2026-06-08",62,0
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite",,"2026-06-08",9,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Extra Large","75011","2026-06-08",59,5
"Finley Romper in Plum","Plum / Newborn","31114","2026-06-08",63,0
"Finley Romper in Black","Black / 12-18 Months","10201","2026-06-08",40,0
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","10221","2026-06-08",15,0
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","20006","2026-06-08",1,3
"Amelia Labor & Postpartum Gown in Black","Black / Curve","10270","2026-06-08",55,7
"Robes in Emerald","Mia Robe / Short","10182","2026-06-08",64,1
"Finley Romper in Emerald","Emerald / 9-12 Months",,"2026-06-08",82,0
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","94224","2026-06-08",24,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","75008","2026-06-08",18,0
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","20119","2026-06-08",33,5
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10098","2026-06-08",54,5
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","20114","2026-06-08",151,15
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","20004","2026-06-08",-2,5
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","17001","2026-06-08",0,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Curve","10272","2026-06-08",41,3
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10074","2026-06-08",90,2
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","10097","2026-06-08",98,13
"Finley Romper in Sage","Sage / 6-9 Months","94232","2026-06-08",15,0
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months",,"2026-06-08",44,0
"Robes in Periwinkle","Laura Robe / Long","10172","2026-06-08",70,5
"TENS Unit for Labor","Default Title","20202","2026-06-08",1826,132
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10229","2026-06-08",84,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","75030","2026-06-08",43,1
"Robes in Black","Laura Robe / Long","10168","2026-06-08",37,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","66947","2026-06-08",41,2
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","10223","2026-06-08",51,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","75003","2026-06-08",58,1
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","24226","2026-06-08",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","75023","2026-06-08",-2,3
"Amelia Labor & Postpartum Gown Lilac","Standard","29705","2026-06-08",3,3
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","107780","2026-06-08",28,4
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","942229","2026-06-08",7,13
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","66943","2026-06-08",38,0
"Lila Labor & Postpartum Gown in Sage","Sage / Petite",,"2026-06-08",0,0
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","11307","2026-06-08",45,1
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","10215","2026-06-08",63,0
"Robes in Lilac","Mia Robe / Short","29711","2026-06-08",41,0
"Baby Swaddle Set: Vintage Floral","Hat & Bow",,"2026-06-08",-11,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","10101","2026-06-08",27,9
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10266","2026-06-08",22,5
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Standard","10228","2026-06-08",84,1
"Finley Romper in Black","Black / 9-12 Months","10200","2026-06-08",60,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","75010","2026-06-08",15,5
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","10225","2026-06-08",88,1
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","10226","2026-06-08",42,0
"Robes in Sage","Laura Robe / Long","10170","2026-06-08",30,4
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","10112","2026-06-08",304,27
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","10100","2026-06-08",27,29
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","20117","2026-06-08",1,18
"Finley Romper in Lilac","Lilac / Newborn","94233","2026-06-08",17,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10265","2026-06-08",-2,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","66946","2026-06-08",43,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","45213","2026-06-08",13,0
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","11300","2026-06-08",57,3
"Robes in Sage","Mia Robe / Short","10190","2026-06-08",57,0
"Finley Romper in Emerald","Emerald / Newborn","94221","2026-06-08",-5,0
"Baby Swaddle Set: Dusty Rose","Hat & Bow","10025","2026-06-08",-1,0
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","0","2026-06-08",70,0
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","17002","2026-06-08",5,1
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months",,"2026-06-08",19,0
"Amelia Labor & Postpartum Gown in Sage","Sage / Petite","10227","2026-06-08",40,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Extra Large","75029","2026-06-08",46,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10073","2026-06-08",1,3
"Finley Romper in Midnight Blue","Midnight Blue / 3-6 Months","940217","2026-06-08",-2,0
"Finley Romper in Plum","Plum / 6-9 Months","31116","2026-06-08",112,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","45102","2026-06-08",5,4
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Standard","10109","2026-06-08",11,49
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","10274","2026-06-08",55,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","75016","2026-06-08",42,1
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","10107","2026-06-08",86,7
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","107779","2026-06-08",26,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","75002","2026-06-08",48,8
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","75024","2026-06-08",64,0
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","10264","2026-06-08",35,6
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","940220","2026-06-08",20,0
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","107778","2026-06-08",50,11
"Robes in Emerald","Laura Robe / Long","10162","2026-06-08",1,0
"Robes in Deep Teal","Laura Robe / Long","10175","2026-06-08",27,1
"Lila Labor & Postpartum Gown in Black","Black / Curve","10260","2026-06-08",137,19
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","10094","2026-06-08",12,37
"Finley Romper in Black","Black / 18-24 Months","10202","2026-06-08",83,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10271","2026-06-08",24,4
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Slim Petite",,"2026-06-08",1,2
"Baby Swaddle Set: Plum","Hat",,"2026-06-08",-3,0
"Lila Labor & Postpartum Gown in Black","Black / Standard","10156","2026-06-08",39,63
"Baby Swaddle Set: Black","Hat & Bow","10123","2026-06-08",105,7
"Finley Romper in Sage","Sage / Newborn","94230","2026-06-08",0,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Medium","75005","2026-06-08",33,3
"Robes in Lilac","Laura Robe / Long","29709","2026-06-08",43,1
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-06-08",41,0
"Robes in Black","Mia Robe / Short","10188","2026-06-08",-2,1
"Robes in Midnight Blue","Mia Robe / Short",,"2026-06-08",75,0
"Finley Romper in Emerald","Emerald / 18-24 Months",,"2026-06-08",3,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","113011","2026-06-08",50,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","10230","2026-06-08",66,0
"Finley Romper in Black","Black / Newborn","10197","2026-06-08",80,3
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite",,"2026-06-08",12,5
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","20005","2026-06-08",134,27
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","940209","2026-06-08",65,18
"Baby Swaddle Set: Sage","Hat & Bow","94562","2026-06-08",-6,0
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months",,"2026-06-08",20,0
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","10220","2026-06-08",10,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","62000","2026-06-08",55,1
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","10103","2026-06-08",7,33
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","10233","2026-06-08",49,1
"Baby Swaddle Set: Periwinkle","Hat & Bow",,"2026-06-08",-2,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","75021","2026-06-08",19,7
"Baby Swaddle Set: Deep Teal","Hat & Bow","10024","2026-06-08",1,17
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","10262","2026-06-08",31,6
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","11302","2026-06-08",33,6
"Finley Romper in Lilac","Lilac / 3-6 Months","94234","2026-06-08",31,0
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","940221","2026-06-08",25,0
"Finley Romper in Lilac","Lilac / 6-9 Months","94235","2026-06-08",18,0
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10261","2026-06-08",84,3
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","10218","2026-06-08",6,0
"Finley Romper in Periwinkle","Periwinkle / Newborn",,"2026-06-08",-1,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","62001","2026-06-08",27,3
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","20004","2026-06-15",25,3
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","940210","2026-06-15",138,51
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","10212","2026-06-15",64,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite",,"2026-06-15",28,6
"Finley Romper in Black","Black / 3-6 Months","10198","2026-06-15",58,0
